,Date,Reach,Amount of Reach,Impressions,Amount of Impressions,Day,Day of the Week,Week,Month,Year
579,2021-02-21,Daily Paid Reach,0,Daily Paid Impressions,0,21,Sunday,7,February,2021
580,2021-02-22,Daily Organic Reach,604,Daily Organic impressions,726,22,Monday,8,February,2021
581,2021-02-22,Daily Organic Reach,604,Daily Paid Impressions,0,22,Monday,8,February,2021
582,2021-02-22,Daily Paid Reach,0,Daily Organic impressions,726,22,Monday,8,February,2021
583,2021-02-22,Daily Paid Reach,0,Daily Paid Impressions,0,22,Monday,8,February,2021
584,2021-02-23,Daily Organic Reach,340,Daily Organic impressions,362,23,Tuesday,8,February,2021
585,2021-02-23,Daily Organic Reach,340,Daily Paid Impressions,0,23,Tuesday,8,February,2021
586,2021-02-23,Daily Paid Reach,0,Daily Organic impressions,362,23,Tuesday,8,February,2021
587,2021-02-23,Daily Paid Reach,0,Daily Paid Impressions,0,23,Tuesday,8,February,2021
588,2021-02-24,Daily Organic Reach,134,Daily Organic impressions,180,24,Wednesday,8,February,2021
589,2021-02-24,Daily Organic Reach,134,Daily Paid Impressions,0,24,Wednesday,8,February,2021
590,2021-02-24,Daily Paid Reach,0,Daily Organic impressions,180,24,Wednesday,8,February,2021
591,2021-02-24,Daily Paid Reach,0,Daily Paid Impressions,0,24,Wednesday,8,February,2021
592,2021-02-25,Daily Organic Reach,70,Daily Organic impressions,81,25,Thursday,8,February,2021
593,2021-02-25,Daily Organic Reach,70,Daily Paid Impressions,0,25,Thursday,8,February,2021
594,2021-02-25,Daily Paid Reach,0,Daily Organic impressions,81,25,Thursday,8,February,2021
595,2021-02-25,Daily Paid Reach,0,Daily Paid Impressions,0,25,Thursday,8,February,2021
596,2021-02-26,Daily Organic Reach,68,Daily Organic impressions,112,26,Friday,8,February,2021
597,2021-02-26,Daily Organic Reach,68,Daily Paid Impressions,0,26,Friday,8,February,2021
598,2021-02-26,Daily Paid Reach,0,Daily Organic impressions,112,26,Friday,8,February,2021
599,2021-02-26,Daily Paid Reach,0,Daily Paid Impressions,0,26,Friday,8,February,2021
600,2021-02-27,Daily Organic Reach,32,Daily Organic impressions,56,27,Saturday,8,February,2021
601,2021-02-27,Daily Organic Reach,32,Daily Paid Impressions,0,27,Saturday,8,February,2021
602,2021-02-27,Daily Paid Reach,0,Daily Organic impressions,56,27,Saturday,8,February,2021
603,2021-02-27,Daily Paid Reach,0,Daily Paid Impressions,0,27,Saturday,8,February,2021
604,2021-02-28,Daily Organic Reach,15,Daily Organic impressions,28,28,Sunday,8,February,2021
605,2021-02-28,Daily Organic Reach,15,Daily Paid Impressions,0,28,Sunday,8,February,2021
606,2021-02-28,Daily Paid Reach,0,Daily Organic impressions,28,28,Sunday,8,February,2021
607,2021-02-28,Daily Paid Reach,0,Daily Paid Impressions,0,28,Sunday,8,February,2021
608,2021-03-01,Daily Organic Reach,250,Daily Organic impressions,300,1,Monday,9,March,2021
609,2021-03-01,Daily Organic Reach,250,Daily Paid Impressions,0,1,Monday,9,March,2021
610,2021-03-01,Daily Paid Reach,0,Daily Organic impressions,300,1,Monday,9,March,2021
611,2021-03-01,Daily Paid Reach,0,Daily Paid Impressions,0,1,Monday,9,March,2021
612,2021-03-02,Daily Organic Reach,385,Daily Organic impressions,550,2,Tuesday,9,March,2021
613,2021-03-02,Daily Organic Reach,385,Daily Paid Impressions,0,2,Tuesday,9,March,2021
614,2021-03-02,Daily Paid Reach,0,Daily Organic impressions,550,2,Tuesday,9,March,2021
615,2021-03-02,Daily Paid Reach,0,Daily Paid Impressions,0,2,Tuesday,9,March,2021
616,2021-03-03,Daily Organic Reach,369,Daily Organic impressions,504,3,Wednesday,9,March,2021
617,2021-03-03,Daily Organic Reach,369,Daily Paid Impressions,0,3,Wednesday,9,March,2021
618,2021-03-03,Daily Paid Reach,0,Daily Organic impressions,504,3,Wednesday,9,March,2021
619,2021-03-03,Daily Paid Reach,0,Daily Paid Impressions,0,3,Wednesday,9,March,2021
620,2021-03-04,Daily Organic Reach,239,Daily Organic impressions,292,4,Thursday,9,March,2021
621,2021-03-04,Daily Organic Reach,239,Daily Paid Impressions,0,4,Thursday,9,March,2021
622,2021-03-04,Daily Paid Reach,0,Daily Organic impressions,292,4,Thursday,9,March,2021
623,2021-03-04,Daily Paid Reach,0,Daily Paid Impressions,0,4,Thursday,9,March,2021
624,2021-03-05,Daily Organic Reach,242,Daily Organic impressions,290,5,Friday,9,March,2021
625,2021-03-05,Daily Organic Reach,242,Daily Paid Impressions,0,5,Friday,9,March,2021
626,2021-03-05,Daily Paid Reach,0,Daily Organic impressions,290,5,Friday,9,March,2021
627,2021-03-05,Daily Paid Reach,0,Daily Paid Impressions,0,5,Friday,9,March,2021
628,2021-03-06,Daily Organic Reach,51,Daily Organic impressions,69,6,Saturday,9,March,2021
629,2021-03-06,Daily Organic Reach,51,Daily Paid Impressions,0,6,Saturday,9,March,2021
630,2021-03-06,Daily Paid Reach,0,Daily Organic impressions,69,6,Saturday,9,March,2021
631,2021-03-06,Daily Paid Reach,0,Daily Paid Impressions,0,6,Saturday,9,March,2021
632,2021-03-07,Daily Organic Reach,36,Daily Organic impressions,47,7,Sunday,9,March,2021
633,2021-03-07,Daily Organic Reach,36,Daily Paid Impressions,0,7,Sunday,9,March,2021
634,2021-03-07,Daily Paid Reach,0,Daily Organic impressions,47,7,Sunday,9,March,2021
635,2021-03-07,Daily Paid Reach,0,Daily Paid Impressions,0,7,Sunday,9,March,2021
636,2021-03-08,Daily Organic Reach,26,Daily Organic impressions,93,8,Monday,10,March,2021
637,2021-03-08,Daily Organic Reach,26,Daily Paid Impressions,0,8,Monday,10,March,2021
638,2021-03-08,Daily Paid Reach,0,Daily Organic impressions,93,8,Monday,10,March,2021
639,2021-03-08,Daily Paid Reach,0,Daily Paid Impressions,0,8,Monday,10,March,2021
640,2021-03-09,Daily Organic Reach,26,Daily Organic impressions,35,9,Tuesday,10,March,2021
641,2021-03-09,Daily Organic Reach,26,Daily Paid Impressions,0,9,Tuesday,10,March,2021
642,2021-03-09,Daily Paid Reach,0,Daily Organic impressions,35,9,Tuesday,10,March,2021
643,2021-03-09,Daily Paid Reach,0,Daily Paid Impressions,0,9,Tuesday,10,March,2021
644,2021-03-10,Daily Organic Reach,25,Daily Organic impressions,82,10,Wednesday,10,March,2021
645,2021-03-10,Daily Organic Reach,25,Daily Paid Impressions,0,10,Wednesday,10,March,2021
646,2021-03-10,Daily Paid Reach,0,Daily Organic impressions,82,10,Wednesday,10,March,2021
647,2021-03-10,Daily Paid Reach,0,Daily Paid Impressions,0,10,Wednesday,10,March,2021
648,2021-03-11,Daily Organic Reach,330,Daily Organic impressions,350,11,Thursday,10,March,2021
649,2021-03-11,Daily Organic Reach,330,Daily Paid Impressions,0,11,Thursday,10,March,2021
650,2021-03-11,Daily Paid Reach,0,Daily Organic impressions,350,11,Thursday,10,March,2021
651,2021-03-11,Daily Paid Reach,0,Daily Paid Impressions,0,11,Thursday,10,March,2021
652,2021-03-12,Daily Organic Reach,251,Daily Organic impressions,293,12,Friday,10,March,2021
653,2021-03-12,Daily Organic Reach,251,Daily Paid Impressions,0,12,Friday,10,March,2021
654,2021-03-12,Daily Paid Reach,0,Daily Organic impressions,293,12,Friday,10,March,2021
655,2021-03-12,Daily Paid Reach,0,Daily Paid Impressions,0,12,Friday,10,March,2021
656,2021-03-13,Daily Organic Reach,66,Daily Organic impressions,127,13,Saturday,10,March,2021
657,2021-03-13,Daily Organic Reach,66,Daily Paid Impressions,0,13,Saturday,10,March,2021
658,2021-03-13,Daily Paid Reach,0,Daily Organic impressions,127,13,Saturday,10,March,2021
659,2021-03-13,Daily Paid Reach,0,Daily Paid Impressions,0,13,Saturday,10,March,2021
660,2021-03-14,Daily Organic Reach,69,Daily Organic impressions,96,14,Sunday,10,March,2021
661,2021-03-14,Daily Organic Reach,69,Daily Paid Impressions,0,14,Sunday,10,March,2021
662,2021-03-14,Daily Paid Reach,0,Daily Organic impressions,96,14,Sunday,10,March,2021
663,2021-03-14,Daily Paid Reach,0,Daily Paid Impressions,0,14,Sunday,10,March,2021
664,2021-03-15,Daily Organic Reach,350,Daily Organic impressions,411,15,Monday,11,March,2021
665,2021-03-15,Daily Organic Reach,350,Daily Paid Impressions,2562,15,Monday,11,March,2021
666,2021-03-15,Daily Paid Reach,2470,Daily Organic impressions,411,15,Monday,11,March,2021
667,2021-03-15,Daily Paid Reach,2470,Daily Paid Impressions,2562,15,Monday,11,March,2021
668,2021-03-16,Daily Organic Reach,355,Daily Organic impressions,445,16,Tuesday,11,March,2021
669,2021-03-16,Daily Organic Reach,355,Daily Paid Impressions,5984,16,Tuesday,11,March,2021
670,2021-03-16,Daily Paid Reach,5345,Daily Organic impressions,445,16,Tuesday,11,March,2021
671,2021-03-16,Daily Paid Reach,5345,Daily Paid Impressions,5984,16,Tuesday,11,March,2021
672,2021-03-17,Daily Organic Reach,97,Daily Organic impressions,138,17,Wednesday,11,March,2021
673,2021-03-17,Daily Organic Reach,97,Daily Paid Impressions,6164,17,Wednesday,11,March,2021
674,2021-03-17,Daily Paid Reach,5855,Daily Organic impressions,138,17,Wednesday,11,March,2021
675,2021-03-17,Daily Paid Reach,5855,Daily Paid Impressions,6164,17,Wednesday,11,March,2021
676,2021-03-18,Daily Organic Reach,32,Daily Organic impressions,44,18,Thursday,11,March,2021
677,2021-03-18,Daily Organic Reach,32,Daily Paid Impressions,5901,18,Thursday,11,March,2021
678,2021-03-18,Daily Paid Reach,5828,Daily Organic impressions,44,18,Thursday,11,March,2021
679,2021-03-18,Daily Paid Reach,5828,Daily Paid Impressions,5901,18,Thursday,11,March,2021
680,2021-03-19,Daily Organic Reach,38,Daily Organic impressions,76,19,Friday,11,March,2021
681,2021-03-19,Daily Organic Reach,38,Daily Paid Impressions,3625,19,Friday,11,March,2021
682,2021-03-19,Daily Paid Reach,3504,Daily Organic impressions,76,19,Friday,11,March,2021
683,2021-03-19,Daily Paid Reach,3504,Daily Paid Impressions,3625,19,Friday,11,March,2021
684,2021-03-20,Daily Organic Reach,24,Daily Organic impressions,100,20,Saturday,11,March,2021
685,2021-03-20,Daily Organic Reach,24,Daily Paid Impressions,7042,20,Saturday,11,March,2021
686,2021-03-20,Daily Paid Reach,6624,Daily Organic impressions,100,20,Saturday,11,March,2021
687,2021-03-20,Daily Paid Reach,6624,Daily Paid Impressions,7042,20,Saturday,11,March,2021
688,2021-03-21,Daily Organic Reach,20,Daily Organic impressions,66,21,Sunday,11,March,2021
689,2021-03-21,Daily Organic Reach,20,Daily Paid Impressions,9779,21,Sunday,11,March,2021
690,2021-03-21,Daily Paid Reach,9785,Daily Organic impressions,66,21,Sunday,11,March,2021
691,2021-03-21,Daily Paid Reach,9785,Daily Paid Impressions,9779,21,Sunday,11,March,2021
692,2021-03-22,Daily Organic Reach,21,Daily Organic impressions,29,22,Monday,12,March,2021
693,2021-03-22,Daily Organic Reach,21,Daily Paid Impressions,8166,22,Monday,12,March,2021
694,2021-03-22,Daily Paid Reach,7636,Daily Organic impressions,29,22,Monday,12,March,2021
695,2021-03-22,Daily Paid Reach,7636,Daily Paid Impressions,8166,22,Monday,12,March,2021
696,2021-03-23,Daily Organic Reach,188,Daily Organic impressions,280,23,Tuesday,12,March,2021
697,2021-03-23,Daily Organic Reach,188,Daily Paid Impressions,8239,23,Tuesday,12,March,2021
698,2021-03-23,Daily Paid Reach,7673,Daily Organic impressions,280,23,Tuesday,12,March,2021
699,2021-03-23,Daily Paid Reach,7673,Daily Paid Impressions,8239,23,Tuesday,12,March,2021
700,2021-03-24,Daily Organic Reach,230,Daily Organic impressions,290,24,Wednesday,12,March,2021
701,2021-03-24,Daily Organic Reach,230,Daily Paid Impressions,7687,24,Wednesday,12,March,2021
702,2021-03-24,Daily Paid Reach,7413,Daily Organic impressions,290,24,Wednesday,12,March,2021
703,2021-03-24,Daily Paid Reach,7413,Daily Paid Impressions,7687,24,Wednesday,12,March,2021
704,2021-03-25,Daily Organic Reach,91,Daily Organic impressions,171,25,Thursday,12,March,2021
705,2021-03-25,Daily Organic Reach,91,Daily Paid Impressions,7113,25,Thursday,12,March,2021
706,2021-03-25,Daily Paid Reach,6744,Daily Organic impressions,171,25,Thursday,12,March,2021
707,2021-03-25,Daily Paid Reach,6744,Daily Paid Impressions,7113,25,Thursday,12,March,2021
708,2021-03-26,Daily Organic Reach,246,Daily Organic impressions,320,26,Friday,12,March,2021
709,2021-03-26,Daily Organic Reach,246,Daily Paid Impressions,3906,26,Friday,12,March,2021
710,2021-03-26,Daily Paid Reach,3578,Daily Organic impressions,320,26,Friday,12,March,2021
711,2021-03-26,Daily Paid Reach,3578,Daily Paid Impressions,3906,26,Friday,12,March,2021
712,2021-03-27,Daily Organic Reach,61,Daily Organic impressions,86,27,Saturday,12,March,2021
713,2021-03-27,Daily Organic Reach,61,Daily Paid Impressions,8381,27,Saturday,12,March,2021
714,2021-03-27,Daily Paid Reach,8145,Daily Organic impressions,86,27,Saturday,12,March,2021
715,2021-03-27,Daily Paid Reach,8145,Daily Paid Impressions,8381,27,Saturday,12,March,2021
716,2021-03-28,Daily Organic Reach,41,Daily Organic impressions,99,28,Sunday,12,March,2021
717,2021-03-28,Daily Organic Reach,41,Daily Paid Impressions,10385,28,Sunday,12,March,2021
718,2021-03-28,Daily Paid Reach,10221,Daily Organic impressions,99,28,Sunday,12,March,2021
719,2021-03-28,Daily Paid Reach,10221,Daily Paid Impressions,10385,28,Sunday,12,March,2021
